phish_id,url,phish_detail_url,submission_time,verified,verification_time,online,target
6012553,http://besetchange.org.ru,http://www.phishtank.com/phish_detail.php?phish_id=6012553,2019-04-16T14:52:19+00:00,yes,2019-04-16T14:53:58+00:00,yes,Other
6012511,http://castient.com/Latam/,http://www.phishtank.com/phish_detail.php?phish_id=6012511,2019-04-16T14:43:21+00:00,yes,2019-04-16T14:45:21+00:00,yes,Other
6012491,https://ib2sacessoseguron.com/login/,http://www.phishtank.com/phish_detail.php?phish_id=6012491,2019-04-16T14:06:12+00:00,yes,2019-04-16T14:07:23+00:00,yes,Other
6012485,https://pascoa-interonline2019-com-br.umbler.net/id-2019/inter2019/pag/app-digital/cliente/atualizacao.php,http://www.phishtank.com/phish_detail.php?phish_id=6012485,2019-04-16T13:52:47+00:00,yes,2019-04-16T13:54:46+00:00,yes,Other
6012411,http://begoniahealthcare.com/ybnl/index.php,http://www.phishtank.com/phish_detail.php?phish_id=6012411,2019-04-16T12:36:35+00:00,yes,2019-04-16T13:12:39+00:00,yes,Other
6012410,https://attservicehighspeed.weebly.com/,http://www.phishtank.com/phish_detail.php?phish_id=6012410,2019-04-16T12:32:55+00:00,yes,2019-04-16T13:12:39+00:00,yes,Other
6012405,https://attct.net/ln/loginprodx.att.net/commonLogin/igate_edam/controller.html,http://www.phishtank.com/phish_detail.php?phish_id=6012405,2019-04-16T12:28:24+00:00,yes,2019-04-16T15:02:34+00:00,yes,Other
6012403,http://link.kenchikuka.jp/ArchList.nsf/ClickUP?OpenAgent&amp;URL=http://bit.do/ePntf,http://www.phishtank.com/phish_detail.php?phish_id=6012403,2019-04-16T12:22:35+00:00,yes,2019-04-16T12:23:51+00:00,yes,"ABSA Bank"
6012402,http://yamato-ta.com:81/index2.html,http://www.phishtank.com/phish_detail.php?phish_id=6012402,2019-04-16T12:21:31+00:00,yes,2019-04-16T15:01:28+00:00,yes,Other
6012401,http://yamato-ta.com:81/,http://www.phishtank.com/phish_detail.php?phish_id=6012401,2019-04-16T12:20:57+00:00,yes,2019-04-16T15:01:28+00:00,yes,Other
6012399,https://furniture.wagreat.com/web/index/,http://www.phishtank.com/phish_detail.php?phish_id=6012399,2019-04-16T12:18:33+00:00,yes,2019-04-16T13:13:44+00:00,yes,Other
6012398,"http://click.folha.com.br/?u=http://bit.ly/2uXnnAi&amp;x1=431&amp;y1=2602&amp;x2=562&amp;y2=2614&amp;ref=http://www.folha.uol.com.br/ Helen",http://www.phishtank.com/phish_detail.php?phish_id=6012398,2019-04-16T12:17:06+00:00,yes,2019-04-16T12:18:18+00:00,yes,"ABSA Bank"
6012397,https://sslweb.rcs.it/rsle/sso/ssoServlet.json?partnerId=cftghnBBBd45566&amp;ver=2&amp;action=logout&amp;returnUrl=https://bit.ly/2GbFKYD&amp;ticketParameterName=ssoAt&amp;application=COR,http://www.phishtank.com/phish_detail.php?phish_id=6012397,2019-04-16T12:12:43+00:00,yes,2019-04-16T12:13:52+00:00,yes,"ABSA Bank"
6012391,http://mail.stuker.com.br/login/lib/js/index.htm,http://www.phishtank.com/phish_detail.php?phish_id=6012391,2019-04-16T12:10:28+00:00,yes,2019-04-16T12:11:26+00:00,yes,"ABSA Bank"
6012390,http://www.cefop.online/wp-includes/js/tinymce/plugins/wpemoji/index.htm,http://www.phishtank.com/phish_detail.php?phish_id=6012390,2019-04-16T12:10:18+00:00,yes,2019-04-16T12:11:26+00:00,yes,"ABSA Bank"
6012389,https://mail.cefop.online/wp-includes/js/tinymce/plugins/wpemoji/index.htm,http://www.phishtank.com/phish_detail.php?phish_id=6012389,2019-04-16T12:10:08+00:00,yes,2019-04-16T12:11:26+00:00,yes,"ABSA Bank"
6012388,http://mail.institutocefop.com/wp-includes/js/tinymce/plugins/wpemoji/index.htm,http://www.phishtank.com/phish_detail.php?phish_id=6012388,2019-04-16T12:05:49+00:00,yes,2019-04-16T12:06:58+00:00,yes,"ABSA Bank"
